주소,위도,경도,견인횟수,nearest_park,park_위도,park_경도,distance,time
서울특별시 광진구 자양동 791,37.5376403,127.0743509,1,중앙농협 건대점,37.5382134,127.0755469,282,1
서울특별시 광진구 자양동 792,37.5334492,127.0704997,1,이튼타워리버5차,37.5321852,127.0690312,253,1
서울특별시 광진구 자양동 792-1,37.5335982,127.0698332,2,coffee the sol,37.5329888,127.0680604,215,0
서울특별시 광진구 자양동 794-10,37.5365651,127.0766832,1,LG 베스트 샾,37.5378993,127.0763301,831,3
서울특별시 광진구 자양동 8-1,37.540635,127.0676234,1,KB국민은행 건대점,37.5412378,127.0671233,1308,9
서울특별시 광진구 자양동 8-6,37.5409574,127.0672651,1,KB국민은행 건대점,37.5412378,127.0671233,1338,9
서울특별시 광진구 자양동 812,37.5332764,127.0687707,1,coffee the sol,37.5329888,127.0680604,96,0
서울특별시 광진구 자양동 829-2,37.5329631,127.0671841,1,coffee the sol,37.5329888,127.0680604,344,2
서울특별시 광진구 자양동 854,37.5318919,127.0679483,2,뚝섬유원지역 1번 출구 부근,37.532187,127.067276,185,0
서울특별시 광진구 자양동 854-2,37.5318669,127.0680542,5,뚝섬유원지역 1번 출구 부근,37.532187,127.067276,187,0
서울특별시 광진구 자양동 854-3,37.5327534,127.0674782,19,coffee the sol,37.5329888,127.0680604,272,1
서울특별시 광진구 자양동 855,37.5329888,127.0680604,12,coffee the sol,37.5329888,127.0680604,0,0
서울특별시 광진구 자양동 855-1,37.5336528,127.0682374,1,coffee the sol,37.5329888,127.0680604,97,0
서울특별시 광진구 자양동 855-2,37.5328185,127.0683211,10,coffee the sol,37.5329888,127.0680604,333,1
서울특별시 광진구 자양동 856,37.5321852,127.0690312,13,이튼타워리버5차,37.5321852,127.0690312,0,0
서울특별시 광진구 자양동 856-14,37.5324179,127.0686107,6,이튼타워리버5차,37.5321852,127.0690312,231,1
서울특별시 광진구 자양동 856-16,37.5316754,127.0694316,3,이튼타워리버5차,37.5321852,127.0690312,212,1
서울특별시 광진구 자양동 856-2,37.5315425,127.0694109,2,이튼타워리버5차,37.5321852,127.0690312,224,1
서울특별시 광진구 자양동 856-5,37.5325589,127.0695152,2,이튼타워리버5차,37.5321852,127.0690312,65,0
서울특별시 광진구 자양동 859,37.5377045,127.0815286,3,향만원 건너편,37.538154,127.081057,314,1
서울특별시 광진구 자양동 861-3,37.531692,127.074516,1,자양나들목,37.5297299,127.0749769,1031,4
서울특별시 광진구 자양동 92-1,37.5326842,127.0638822,1,뚝섬유원지역 1번 출구 부근,37.532187,127.067276,690,4
서울특별시 광진구 자양동 97-1,37.5329129,127.0617054,1,뚝섬유원지역 1번 출구 부근,37.532187,127.067276,4768,17
서울특별시 광진구 자양로18길 65,37.5383855,127.0871225,1,대박집앞,37.538116,127.089644,473,3
서울특별시 광진구 중곡동 115-9,37.5526145,127.0897322,3,아차산역 2번출구,37.55131682,127.0902279,508,2
서울특별시 광진구 중곡동 119-12,37.5549103,127.0862761,1,군자 정우빌딩 앞,37.55613197,127.0815418,814,4
서울특별시 광진구 중곡동 123-1,37.5575666,127.0876948,1,군자 정우빌딩 앞,37.55613197,127.0815418,1293,7
서울특별시 광진구 중곡동 132-11,37.556017,127.083444,1,군자 정우빌딩 앞,37.55613197,127.0815418,554,2
서울특별시 광진구 중곡동 150-100,37.5610743,127.0876217,1,중곡역 2번출구,37.56503466,127.0839516,726,4
서울특별시 광진구 중곡동 150-102,37.5608058,127.08764,1,중곡역 2번출구,37.56503466,127.0839516,756,4
서울특별시 광진구 중곡동 150-103,37.5614019,127.0871114,5,중곡역 2번출구,37.56503466,127.0839516,687,3
서울특별시 광진구 중곡동 150-405,37.5625351,127.0878078,2,중곡역 2번출구,37.56503466,127.0839516,620,3
서울특별시 광진구 중곡동 150-93,37.5612438,127.0875881,1,중곡역 2번출구,37.56503466,127.0839516,725,4
서울특별시 광진구 중곡동 157-1,37.557626,127.0800323,1,셀렉토커피 군자역점,37.557841,127.07978,599,2
서울특별시 광진구 중곡동 157-24,37.5570261,127.0806447,4,군자 LG 베스트샵 앞 ,37.55684347,127.0809078,343,1
서울특별시 광진구 중곡동 157-25,37.5570943,127.0803688,2,군자역 4번출구,37.55708774,127.0802359,8,0
서울특별시 광진구 중곡동 158-24,37.5581522,127.0802906,3,셀렉토커피 군자역점,37.557841,127.07978,320,2
서울특별시 광진구 중곡동 161-24,37.559133,127.0808367,1,셀렉토커피 군자역점,37.557841,127.07978,646,4
서울특별시 광진구 중곡동 163-2,37.5622358,127.0819075,2,중곡역 2번출구,37.56503466,127.0839516,366,1
서울특별시 광진구 중곡동 163-22,37.5611644,127.0814176,2,셀렉토커피 군자역점,37.557841,127.07978,590,2
서울특별시 광진구 중곡동 164-1,37.5627248,127.0822682,1,중곡역 2번출구,37.56503466,127.0839516,899,5
서울특별시 광진구 중곡동 165-1,37.5642418,127.0830708,1,중곡역 2번출구,37.56503466,127.0839516,450,2
서울특별시 광진구 중곡동 166-41,37.5643756,127.0832173,2,중곡역 2번출구,37.56503466,127.0839516,455,2
서울특별시 광진구 중곡동 167-4,37.5658437,127.084029,1,중곡역 2번출구,37.56503466,127.0839516,185,1
서울특별시 광진구 중곡동 168-7,37.5667663,127.084154,3,중곡역 2번출구,37.56503466,127.0839516,315,2
서울특별시 광진구 중곡동 18-27,37.56552,127.0868211,5,중곡역 2번출구,37.56503466,127.0839516,618,3
